,fmp_alpha,mom_1m,mom_3m,mom_12m
XOM,0.0,-1.0226616619212456,-0.28282112554011896,0.22494548553846905
AVGO,0.0,0.8309919574291791,0.543300330967222,0.1935788472052744
COST,0.0,0.08858428761121617,-0.024991843469230446,0.06671887499229945
ABBV,0.0,-1.34777004818819,-0.103861038101277,-0.01298051119367749
PFE,0.0,-1.0406818202621948,-0.5992605398168935,-0.2789796957885987
MRK,0.0,-0.0028324269729571583,0.3207163568729561,0.25409766375857323
PEP,0.0,0.44217636164559204,0.3837293933977657,0.13574869738685635
KO,0.0,-0.16572830193610777,0.26994080735931636,-0.0012535146764187655
ADBE,0.0,-0.5725493070028116,0.009947807959674204,-0.043487984906790844
CSCO,0.0,0.05632654277805793,-0.17707354766115202,0.023262232127723714
WMT,0.0,0.166674290595473,0.23423664099189034,0.18476920926413154
MCD,0.0,0.11798803413872783,0.4333966443916424,0.23422712729122763
ACN,0.0,0.3447879233675346,0.13599190104832015,0.050648704910191245
CRM,0.0,0.8664507688550978,1.0044322891679531,0.3552479068567561
TMO,0.0,-1.1953017817977716,-0.22581727529378126,-0.013743049931199902
DIS,0.0,-0.5319706848388095,-0.4357015498254837,-0.08066676095403047
LIN,0.0,0.10223642173293168,0.5538043016580407,0.19226868049455703
NFLX,0.0,1.73945048540837,0.30102500015618405,0.7956958899421361
ABT,0.0,-0.40823756954354584,0.1372049704447349,-0.006413546246622381
DHR,0.0,-1.3454899241246423,-0.44763853341937665,-0.03929671014388347
WFC,0.0,-0.4298772252995504,-0.5358454965550643,-0.002978949863005953
CMCSA,0.0,1.0042381210593159,0.22640691977050764,0.04068363810212716
VZ,0.0,-0.754766440703551,-0.30466383339299963,-0.21795288839564042
NEE,0.0,-0.5668697751470004,0.016778668900407467,0.1030620731189601
NKE,0.0,-0.6425281145701951,-0.14156933769921753,0.1089771584344491
PM,0.0,-1.0772422765622642,-0.24839131431680572,-0.06148225815378805
TXN,0.0,-0.37848506664897386,-0.0898595664886237,0.04179607587733991
HON,0.0,0.11205217930378542,0.037257768179251194,0.04162470401422369
UPS,0.0,-1.4332690540783801,-0.2129478069653632,0.007203136388638565
LOW,0.0,0.10619987346525228,-0.038677181987719855,0.14529998420820966
RTX,0.0,-0.8613912954684588,-0.13225796224844988,0.07121918907759162
MS,0.0,-0.6858319019645411,-0.5837013212646855,0.09512123384093885
INTC,0.0,-0.46573852920268566,0.28984878879116227,-0.2889788297565278
GS,0.0,-0.2438179112200629,-0.40342302144736397,0.11734560279811146
AMD,0.0,2.3446877002121846,1.2930557041192352,0.1999116998329432
IBM,0.0,0.15375973434080548,-0.2051830358091351,-0.020142593085994753
SBUX,0.0,0.1177206473409993,0.03532060756085409,0.4386747735687657
CAT,0.0,-0.45287628183132167,-0.485831877638808,0.08346462739670757
DE,0.0,-0.6793189691142159,-0.2729782519318351,0.03479284542490024
UNP,0.0,-0.17254125420194288,0.03281300361453088,-0.09471542286007029
BA,0.0,-0.06561086248757952,-0.053427091447249886,0.5331568136709157
AAPL,0.0,0.6367729473636521,0.581222043777581,0.27459186166109384
MSFT,0.0,1.3549682950176618,0.884284104781984,0.2891470689279374
AMZN,0.0,1.4259728413441626,0.7666584920709125,0.1772597333768473
NVDA,0.0,1.7835928200045665,1.6134164961540303,0.7682983621395449
GOOGL,0.0,1.8864768693652918,1.0961202874978673,0.1653136779682498
GOOG,0.0,1.8636540979066436,1.102626211044584,0.1660700199801627
META,0.0,1.8297086601999415,1.4842649684872438,0.4176749079235569
TSLA,0.0,1.2727650776026924,-0.4552709010429914,-0.0718725759295652
BRK-B,0.0,0.2491842696799873,0.2905913903626356,0.09690683892795338
